Level,Number,year2014,year2015,year2016,year2017,year2018,year2019
7,3,"Double turntable, Spike
２回転ターンテーブル～けん","Around candle stick (Kengrip)
ろうそく一周
（けんグリップ）","Kenflip Europe
けんフリップ ヨーロッパ一周","Base cup hanging swinger lighthouse,
Stuntplane
中皿つるし遠心力灯台～すくいけん","Axe, 2 turn lighthouse insta no turn axe,
Falling in
まさかり～２回転灯台 インスタ無回転まさかり
～さかおとし","1-2-3 lighthouse flip,
Falling in
灯台とんぼ返り１－２－３
～さかおとし"
7,4,"Around Denmark
デンマーク一周","Mooncircle fast kenflip lighthouse, Spike
円月はやてけんフリップ灯台～けん","Double turntable tap reverse turntable, Spike
２回転ターンテーブルタップ戻し～けん","2 turn lighthouse, Insta inward 2 turn tradespike
２回転灯台インスタうら２回転とめけん","Double tap swap double juggle spike
ダブルタップスワップ ダブルジャグルとめけん","2 turn swap inward double kenflip swap in
２回転スワップうら２回転けんフリップスワップイン"
7,5,"Mooncircle slip stop special, Spike
円月殺法太陽極意～けん","Kenflip juggle base cup, Kenflip penguin base cup,
Switch grip downspike
けんフリップジャグル中皿～けんフリップペンギン中皿～もちかえダウンスパイク","Double gunslinger penguin basecup,
1.5 kenflip spike
２回転風車ペンギン中皿
～ 1.5 回転けんフリップ
とめけん","Airplane, 1 turn swap kneebounce swap ghost falling in
飛行機～１回転スワップリフティングスワップゴーストさかおとし","Inward juggle ghost juggle juggle spike
うらジャグル ゴーストジャグルジャグルとめけん","Double tap double juggle spike
ダブルタップ
ダブルジャグルとめけん"
7,6,"Base cup, Flip lunar,
Flip in
中皿～１回転月面着陸
～１回転さかおとし","Underbird, Kenflip downspike
アンダーバード～      けんフリップダウンスパイク","Stilt, Trade handlestall, 1 turn spike
たけうま～中皿極意
～回転けん","2 turn kenflip swap tap in
２回転けんフリップスワップタップイン","Hanging inward 2 turn lighthouse,
Inward 2 turn falling in
つるしうら２回転灯台
～うら２回転さかおとし","Stilt, Base cup,
Ghost stilt, Flip in
たけうま～中皿～ゴーストたけうま～１回転さかおとし"
7,7,"Lightning drop swap spike
稲妻おとし１回転とめけん","Bird, Kenflip over valley,
Spike
うぐいす～けんフリップうぐいすの谷渡り～けん","Airplane,
1.5 turn trade bird, Trade 1.5 turn falling in
飛行機～ 1.5 回転うぐいす
～ 1.5 回転さかおとし","Airplane, 1 turn swap penguin bird,
1 turn penguin spike 飛行機～１回転スワップペンギンうぐいす～
１回転ペンギンけん","Candle handlestall,
Spike
ちょうちん
小田原提灯返し","Airplane, Dirty finger double flip juggle bird, 1 turn spike
飛行機～ダーティーフィンガー ２回転フリップジャグル                 うぐいす～回転けん"
7,8,"Swing spike, Juggle spike
ふりけん～
ジャグリングとめけん","1 turn stilt, Stilt over valley, In
１回転たけうま～たけうま渡り","Inward lunar, Axe, Inward lunar, Tradespike
うら月面～まさかり
～うら月面～けん","Inward lunar, Cushion lunar, Cushion inward lunar, Falling in
うら月面～クッション月面
～クッションうら月面
～さかおとし","Base cup, Ghost lunar, Falling in, Base cup, Ghost inward lunar, Falling in
中皿～ゴースト月面
～さかおとし～中皿～    ゴーストうら月面～さかおとし","1 turn lunar,
Arm bounce flip lunar,
Flip in
１回転月面～
アームバウンス１回転月面
～１回転さかおとし"
7,9,"Mooncircle mooncircle kenflip lighthouse,
Tradespike
胡蝶の舞けんフリップ灯台～けん","Swing UFO, Double UFO
やまびこ返し～ ２回転ＵＦＯ","Lighthouse, Trade bird, Trade no turn lighthouse, Trade over valley bird, 1 turn spike １回転灯台～うぐいす～
無回転灯台～
谷渡りうぐいす～回転けん","Axe, Tap axe, Falling in
まさかり～タップまさかり
～さかおとし","Mooncircle candle catch swap ghost falling in
円月ろうそくキャッチ         スワップゴーストさかおとし","Faster than gravity fasthand lighthouse,
Stuntplane
居合かぶせ灯台
～すくいけん"
7,10,"Backcross mooncircle downspike
はやぶさ円月殺法ダウンスパイク","Double juggle downspike
ダブルジャグルダウンスパイク","Lightening drop swap kenflip downspike
稲妻スワップけんフリップダウンスパイク","Airplane, 2 turn swap downspike fasthand
飛行機～２回転スワップダウンスパイク
ファストハンド","Stuntplane fasthand, Inward kenflip stuntplane fasthand
すくいけんファストハンド
～うら１回転けんフリップ
すくいけんファストハンド","Candle handlestall, Kenflip downspike
小田原ちょうちん
～けんフリップ
ダウンスパイク"
8,1,"3-turn airplane, Triple J-stick
３回転飛行機～ ３回転はねけん","1-2-3 lighthouse flip,
Falling in
灯台とんぼ返り１ｰ２ｰ３
～さかおとし","Lightening drop swap double kenflip spike
稲妻おとし２回転 けんフリップとめけん","Double kenflip -> juggle
-> double kenflip spike
２回転けんフリップ→ジャグル→２回転けんフリップとめけん","Double gunslinger flip spike, Double gunslinger flip spike
２回転風車けんフリップけん
～２回転風車けんフリップけん","Triple kenflip juggle triple kenflip spike
３回転けんフリップジャグル ３回転けんフリップけん"
8,2,"Swing spike, Double inward whirlwind
ふりけん～２回転うらけんフリップ地球まわし","Airplane, Double UFO swap spike
飛行機～２回転ＵＦＯスワップスパイク","Kenflip juggle kenflip juggle spike
けんフリップジャグルけんフリップジャグルとめけん","Triple UFO
飛行機～３回転ＵＦＯ","Airplane, Inward 1 turn swap penguin inward double kenflip swap in
飛行機～うら１回転スワップペンギンうら２回転けん
フリップスワップイン","Airplane, Inward 3 turn swap downspike fasthand, 3 turn swap downspike fasthand飛行機～うら３回転スワップ
ダウンスパイクファストハンド
～３回転スワップダウンスパイクファストハンド"
8,3,"Candlestick, Kenflip candlestick, Spike
ろうそく～けんフリップろうそく～ろうそく返し","Around 1 turn lunar
１回転月面一周","Tap juggle tap juggle tap juggle lighthouse,
Tradespike
タップジャグルタップジャグルタップ
ジャグル灯台～けん","Double kenflip juggle -> double arm bounce -> juggle spike
２回転けんフリップジャグル
→ダブルアームバウンス
→ジャグルとめけん","Juggle ghost stuntplane penguin fasthand
ジャグルゴーストすくいけんペンギンファストハンド","1-2-3 inward small cup bird flips,
Inward flip spikeうら小皿うぐいす 地球まわし１－２－３
～うら回転けん"
8,4,"Swing bird over the valley special
前ふりうぐいす～こっくり谷渡り","Tap swap kenflip insta-lighthouse flip insta-tradespike
タップスワップ
けんフリップインスタ灯台とんぼ返りインスタけん","Lightening drop swap juggle penguin spike
稲妻おとしジャグルペンギンとめけん","Triple gunslinger spike, Triple whirlslinger
３回転風車けん～    ３回転風車地球まわし","Gunslinger swap tap swap kenflip spike
風車スワップタップスワップけんフリップとめけん","Lightning drop swap kenflip downspike fasthand
稲妻おとしスワップけんフリップダウン
スパイクファストハンド"
8,5,"Handlestall, Bird over the Valley
中皿極意～うぐいすの谷渡り","Wingwalker flip, Spike
大皿極意～大皿極意地球まわし～けん","Gunslinger reverse kenflip bird, 1 turn spike
風車うらけんフリップうぐいす～回転けん","Double inward juggle spike
ダブルうらジャグルとめけん","Tap tap 1 turn tap lighthouse, Tradespike
タップタップ１回転タップ灯台～けん","Tap juggle inward tap juggle double tap juggle spike
タップジャグルうらタップジャグルダブルタップ     ジャグルとめけん"
8,6,"2-turn lunar, Trade downspike
２回転月面着陸～ダウンスパイク","Stilt tre flip, In
たけうま～たけうまトレとんぼ返り～さかおとし","Bird, Knee bounce bird,
Knee bounce spike
うぐいす～
リフティングうぐいす～リフティングけん","Penguin spike, Swich glip 1.5 juggle penguin spike
ペンギンけん～ スイッチグリップ
１．５ジャグルペンギンけん","Hanging cushion inward stilt, Downspike fasthand
つるしクッションうら     たけうま～ダウンスパイク
ファストハンド","Stilt over the valley, Bird over the valley, 1 turn spike
たけうま渡り
～うぐいすの谷渡り
～回転けん"
8,7,"3-turn swap spike
３回転とめけん","Triple turntable, Spike
３回転ターンテーブル
～けん","Bird gunslinger,
1.5 turn falling in
うぐいすガンマン
～ 1.5 回転さかおとし","Lunar, Bird,
Kenflip lunar, Tradespike
月面～うぐいす～   けんフリップ月面～けん","Swap tap swap underbird, Spike
スワップタップスワップアンダーバード～けん","Airplane, Candle double inward kenflip inward lunar, Falling in
飛行機～ろうそく２回転うらけんフリップ
うら月面～さかおとし"
8,8,"Airplane, Juggle spike
飛行機～
ジャグリングとめけん","Border balance, Border balance flip, In
ボーダーバランス～ボーダーバランスとんぼ返り～イン","Stilt, Nod off lunar, Over valley stilt,
1.5 turn tradespike
たけうまこっくり月面～谷渡りたけうま～
1.5 回転とめけん","Hanging 2 turn inward lunar, Tradespike
つるし２回転うら月面～けん","Inward lunar, 1 turn cushion tap inward
1 turn lunar, Falling in
うら月面～１回転クッションタップうら１回転月面
～さかおとし","Inward lunar, 1.5 flip spike tap 1.5 flip inward lunar, Falling in
うら月面～１．５回転けん先タップ１．５回転うら月面
～さかおとし"
8,9,"Lighthouse, Juggle lighthouse, Falling in
灯台～ジャグリング灯台
～さかおとし","Stuntplane backhand throw switch pressure UFO
すくいけんバックハンドスロースイッチプレッシャーＵＦＯ","Stilt, Swing stilt,
Tradespike
たけうま～たけうま
～けん","1 turn axe, Axe over the valley,
Falling
１回転まさかり～谷渡り～さかおとし","Base cup hanging swinger back throw downspike
中皿つるし遠心力                       バックスローダウンスパイク","Juggle pinky spike, Juggle arm bounce spike
ジャグル小指姫～ジャグルアームバウンススパイク"
8,10,"Hanging inward flip downspike
つるし１回転ダウンスパイク","Scramble tama mooncircle 1 turn lunar, Trade bird, Downspikeスクランブル玉円月殺法
１回転月面着陸～うぐいす
～ダウンスパイク","Triple tap juggle downspike
トリプルタップジャグルダウンスパイク","Airplane, 1.5 swap juggle downspike fasthand
飛行機～１．５スワップ  ジャグルダウンスパイク
ファストハンド","Double gunslinger downspike, Double gunslinger down earth
２回転風車ダウンスパイク
～２回転風車地獄ぐるま","Swing spike, 1.5 kenflip gunslinger downspike
ふりけん～１．５回転けん           フリップ風車ダウンスパイク"
9,1,"Airplane, Juggle 1-turn airplane
飛行機～フリップジャグリング１回転飛行機","1-2-3 inward J-stick
うらはねけん１ｰ２ｰ３","Stilt, Double juggle bird, 1 turn spike
たけうま～ダブルジャグルうぐいす～回転けん","Mooncirle fast gunslinger spike
円月はやて風車とめけん","Gunslinger kenflip gunslinger spike
風車けんフリップ風車けん","Kenflip-flip juggle kenflip-flip spike
けんフリップフリップジャグルけんフリップフリップけん"
9,2,"Swing spike, Triple whirlwind
ふりけん～３回転けんフリップ地球まわし","1 turn lighthouse, Lighthouse super flamingo,
Inward falling in
１回転灯台～灯台スーパーフラミンゴ～うらさかおとし","Double gunslinger kenflip lighthouse, Trade double gunslinger spike
２回転風車けんフリップ灯台～２回転風車けん","Lightning drop, Triple tap falling in
稲妻おとし～   タップタップタップ
さかおとし","1-2-3 penguin jumping stick
ペンギンはねけん１－２－３","Lightning drop fast swap kenflip 1.5 kenflip in
稲妻はやてスワップけんフリップ１．５回転けんフリップイン"
9,3,"Swing spike, Kenflip- flip spike
ふりけん～けんフリップフリップ地球まわし","Around wingwalker
大皿極意一周","Big cup, Big bird, Small cup, Small bird, Base cup,
Handlestall, Trade UFO大皿～大皿うぐいす～ 小皿～うぐいす～中皿～
中皿極意～ＵＦＯ","1 turn boarders balance, Juggle spike
１回転ボーダーバランス
～ジャグルとめけん","Handlestall, Double earth turn handlestall, Inward double earth turn handlestall, 1 turn spike中皿極意～２回転中皿極意
地球まわし～うら２回転中皿
極意地球まわし～回転けん","Lighthouse,
1-2-3 flip tap lighthouse,
Tradespike
灯台～フリップタップ灯台１－２－３～けん"
9,4,"Around the Galaxy
銀河系一周","Lunar, Inward flip insta- lighthouse flip lunar, Flip in
月面着陸～うらフリップインスタ灯台フリップ月面着陸～ １回転さかおとし","1-2-3 stuntplane flip
すくいけんフリップ 1-2-3","Double gunslinger bird, Double gunslinger over the valley,
Double gunslinger spike ２回転風車うぐいす～２回転風車谷渡り～２回転風車けん","Airplane, Tap swap kenflip swap tap in
飛行機～タップスワップけんフリップスワップ タップイン","Pull up tap stuntplane fasthand, Tap stuntplane fasthand
プルアップタップすくいけんファストハンド～タップ      すくいけんファストハンド"
9,5,"Swing bird, Rotate bird,
Spike
前ふり小皿うぐいす遠心力～けん","Bird, Double kenflip bird, Spike
うぐいす～２回転けん フリップうぐいす～けん","Mooncircle fast handlestall, 1 turn spike
円月はやて中皿極意
～回転けん","Handlestall, Juggle handlestall,
Falling in
中皿極意～
ジャグル中皿極意～さかおとし","Candle, Triple kenflip juggle candle, Spike
ろうそく～３回転けんフリップジャグル
ろうそく～ろうそく返し","Inward lunar,
Flip swap kenflip inward kenflip to inward lunar, 1 turn tradespike
うら月面～フリップスワップ  けんフリップうらけんフリップうら月面～１回転けん"
